publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-23T07:12:26Z,@OngkiOlinger,"Sedih mendegar Masa jabatan BP Joko widodo terimakasih bapa atas Semua yang engkau berikan kepada rakyat kecil,,skali lagi Mksih bapa Semoggah sehat sllu kedepanYa🙏🏻❤😢<br><br>Dan Tak lupa Presiden Baru kita Bpk Prabowo &amp; Wpres kita Bpk Gibran semongah sllu semanggat melindungi negeri tercinta indonesia ini🙏🏻😇🥰",0
2024-10-23T07:01:55Z,@devibastian1254,Tolong pak konsentrasi juga dengan Pendidikan di negara kita.angkat semua guru guru Honorer menjadi PNS.perhatikan kesejahteraan para guru. Karna bangsa yg maju dan beradab adalah bangsa yg menghargai jasa para pahlawan tampa tanda jasa ini.,0
2024-10-23T06:02:21Z,@Aiyu_wida,Keren pak prabowo bisa hapal semua tanpa teks,0
2024-10-23T05:31:51Z,@gideonz_project3904,"Skaranglah pemimpin indonesia digantikan Tank,,masa meta tank berjaya di semua lane",0
2024-10-23T05:24:22Z,@spiritualmodern,Siapa yang nonton sampai 3x dengan akun yang berbeda-beda tanpa jeda iklan dan video dipercepat?❤❤❤😊😊😊,0
2024-10-23T03:54:08Z,@alfariziputrahariadi6948,Sedih ngelihat bapak sby tanpa di temeni almh istri,0
2024-10-23T03:44:11Z,@azima124,"<a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=4503"">1:15:03</a><br><a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=11880"">3:18:00</a>",2
2024-10-23T03:33:44Z,@nesyaputri7264,semoga indonesia semakin maju saat dipimpin oleh bpk prabowo,0
2024-10-23T03:31:28Z,@NashwaAlthafunisa,KERENN PAK PRABOWOO,0
2024-10-23T03:11:57Z,@ibhienkeliat,❤,0
2024-10-23T02:52:06Z,@riffatcraftbuild70,gak bisa ganti wakil kah,1
2024-10-23T02:46:00Z,@zirelprihamdani7124,0:,0
2024-10-23T02:42:55Z,@kiosbregasmaningfajar5262,❤❤❤❤❤❤❤❤🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨💪💪💪💪💪💪💪💪💪💪💪💪🔥🔥🔥🔥🔥🔥🔥🔥🔥,0
2024-10-23T02:37:01Z,@ilegalloli4,selamat mengemban amanah pak! kami sayang bapak❤❤,0
2024-10-23T02:08:05Z,@MuhammadAkbarHabibibillah,PRABOWO EMOT API EMOT API EMOT API,0
2024-10-23T02:06:23Z,@azkanaufal9227,Proud of you presiden ku sehat selalu pak Prabowo semoga senantiasa dalam lindungan Allah SWT <br>Saya bangga sekali dengan pidato pertama nya semoga segala gagasannya bisa tercapai dan terbukti ya pak aamiin ya rabbal a&#39;lamiin ❤,0
