text_clean,text_preprocess
minggat o cah bayi,"['minggat', 'o', 'cah', 'bayi']"
iyo kui,"['iyo', 'kui']"
alhamdulillah wa syukurillah ya allah presidenku kini telah gagah berdiri memimpin nkri selamat bertugas pakkamu titipkan semua harapan dan impian yang terbaik bagi negri ini tercinta negara kesatuan republik indonesiaterutama keluarga kita saudara kita di papua a href,"['alhamdulillah', 'wa', 'syukurillah', 'ya', 'allah', 'presiden', 'gagah', 'diri', 'pimpin', 'nkri', 'selamat', 'tugas', 'pakkamu', 'titip', 'harap', 'impi', 'baik', 'negri', 'cinta', 'negara', 'satu', 'republik', 'indonesiaterutama', 'keluarga', 'saudara', 'papua', 'a', 'href']"
quotdatang sabagai pemula pulang sebagai legendaquot,"['quotdatang', 'sabagai', 'mula', 'pulang', 'legendaquot']"
brisik sekali suara dari panggung rakyat  cari tempat ko ya dekat dengan panggung rakyat  ngeganggu banget ,"['brisik', 'suara', 'panggung', 'rakyat', 'cari', 'ko', 'ya', 'panggung', 'rakyat', 'ngeganggu', 'banget']"
min saya fotografer dan videografer pun bisa gimana cara biar bisa ikut fotoin pak presiden,"['min', 'fotografer', 'videografer', 'gimana', 'biar', 'fotoin', 'presiden']"
satelit mantau bossku pak presiden orang orang berduit nebar satelit banyak tujuannya bukan hanyak untuk menjangkau pelosok biar kebagian internetternyata mantau pergerakan setiap negara juga bersiaplah,"['satelit', 'mantau', 'bossku', 'presiden', 'orang', 'orang', 'duit', 'nebar', 'satelit', 'tuju', 'hanyak', 'jangkau', 'pelosok', 'biar', 'bagi', 'internetternyata', 'mantau', 'gera', 'negara', 'siap']"
apa satelit,['satelit']
jl msiban kunciran indah kecamatan pinang kota tangerang di ktp nama saya saprudin kampung bojong poncolbrbranak almarhum pak guru swandi dan ibu yati almarhumahbrbrsekianbisikan ghoib atau telepati ada yg nantangin,"['jl', 'msiban', 'kuncir', 'indah', 'camat', 'pinang', 'kota', 'tangerang', 'ktp', 'nama', 'saprudin', 'kampung', 'bojong', 'poncolbrbranak', 'almarhum', 'guru', 'swandi', 'yati', 'almarhumahbrbrsekianbisikan', 'ghoib', 'telepati', 'yg', 'nantangin']"
apa mau tau rumah gw,"['tau', 'rumah', 'gw']"
saya wasilah pemuda indonesia dan menyampaikan pesan dari guru saya tentang ilmu dunia yaitu tymoti atau salah satu youtuber bitcoin tolong perhatikan gaji guru indonesia brbrbrintinya pokoknnya gaji guru naik  juta kalo kaga gw goncang dunia dengan bencana alam lebih dasyatbrbrgw ancemluh pak presiden akan suara hati rakyat brbr sekian dari saya hamba allah semata bila ada tutur kata yang tidak sopan  mohon maaf wabilahitofiq walhidayah wassalamu aquotlaikum wr wbbrbrbrbrsaya tunggu kalian dineraka,"['wasilah', 'pemuda', 'indonesia', 'pesan', 'guru', 'ilmu', 'dunia', 'tymoti', 'salah', 'youtuber', 'bitcoin', 'tolong', 'perhati', 'gaji', 'guru', 'indonesia', 'brbrbrintinya', 'pokoknnya', 'gaji', 'guru', 'juta', 'kalo', 'kaga', 'gw', 'goncang', 'dunia', 'bencana', 'alam', 'dasyatbrbrgw', 'ancemluh', 'presiden', 'suara', 'hati', 'rakyat', 'brbr', 'sekian', 'hamba', 'allah', 'sopan', 'mohon', 'maaf', 'wabilahitofiq', 'walhidayah', 'wassalamu', 'aquotlaikum', 'wr', 'wbbrbrbrbrsaya', 'tunggu', 'neraka']"
wahai presiden engkaulah baru tolong suara kami dengerkan dan terapkan suara yang keluar dari hati nurani agar akal kita berjalan naikkan gaji guru sebesar besarnya  juta bapak semua rakyat iman alquran ayat  biar tuhan ingat kita maka kita selalu harus mengingatnyabrbrsaya gak kasih tau ayat berapa biar kalian buka alquran dan pelajari semua untuk semua kalanganbiar bisa pulang kampung ke surgabrbringat manusia alien sebenarnya di dunia ini kampung kita ialah surga begitulah keterangan sejarah dalam alquran tentang adam as bukan tentang tentang sejarah teori darwin monyetbrbrbrjadi kita cocologi secara tersirat dan tersurat jika kau mulia maka kau dewa atau naik makommu atau derajatmu di mata allah dan seperti lagu iwan fals yaitu manusia setengah dewatapi jika kau monyet berdasi maka tamaklah dirimu akan uang dan jabatanmubrbrdemokrasi paksaya pemilu coblos nomer  kokomitmen dari tahun sebelumnya apa itu demokrasi yaitu suara rakyat dari rakyat oleh rakyat dan untuk rakyatbrbrjaya negaraku indonesia maju dan bermaslahat,"['presiden', 'engkau', 'tolong', 'suara', 'dengerkan', 'terap', 'suara', 'hati', 'nurani', 'akal', 'jalan', 'naik', 'gaji', 'guru', 'besar', 'juta', 'rakyat', 'iman', 'alquran', 'ayat', 'biar', 'tuhan', 'mengingatnyabrbrsaya', 'gak', 'kasih', 'tau', 'ayat', 'biar', 'buka', 'alquran', 'ajar', 'kalanganbiar', 'pulang', 'kampung', 'surgabrbringat', 'manusia', 'alien', 'dunia', 'kampung', 'surga', 'terang', 'sejarah', 'alquran', 'adam', 'as', 'sejarah', 'teori', 'darwin', 'monyetbrbrbrjadi', 'cocologi', 'sirat', 'surat', 'kau', 'mulia', 'kau', 'dewa', 'makommu', 'derajat', 'mata', 'allah', 'lagu', 'iwan', 'fals', 'manusia', 'dewatapi', 'kau', 'monyet', 'das', 'tamak', 'diri', 'uang', 'jabatanmubrbrdemokrasi', 'paksaya', 'milu', 'coblos', 'nomer', 'kokomitmen', 'demokrasi', 'suara', 'rakyat', 'rakyat', 'rakyat', 'rakyatbrbrjaya', 'negara', 'indonesia', 'maju', 'maslahat']"
a href semua kacung tuhan,"['a', 'href', 'kacung', 'tuhan']"
